sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
NPPN;0;10;100000000;2e-12;51200;55;3003;500;0;3132;500;0;129;500,0
NPPN;0;10;100000000;2e-12;51200;89;3647;500;0;3812;500;0;165;500,0
NPPN;0;10;100000000;2e-12;51200;128;4094;356;1;4093;134;1;-1;245,0
NPPN;0;10;100000000;2e-12;51200;255;4095;44;1;4095;45;1;0;44,5
NPPN;0;10;100000000;2e-12;100000;1;2366;270;1;2410;500;0;44;385,0
NPPN;0;10;100000000;2e-12;100000;2;2353;500;0;2384;315;1;31;407,5
NPPN;0;10;100000000;2e-12;100000;3;2353;500;0;2392;500;0;39;500,0
NPPN;0;10;100000000;2e-12;100000;5;2454;500;0;2502;500;0;48;500,0
NPPN;0;10;100000000;2e-12;100000;8;2579;500;0;2557;500;0;-22;500,0
NPPN;0;10;100000000;2e-12;100000;13;2729;500;0;2803;500;0;74;500,0
NPPN;0;10;100000000;2e-12;100000;21;3243;500;0;3194;500;0;-49;500,0
NPPN;0;10;100000000;2e-12;100000;34;2215;500;0;2198;500;0;-17;500,0
NPPN;0;10;100000000;2e-12;100000;55;3672;500;0;3647;500;0;-25;500,0
NPPN;0;10;100000000;2e-12;100000;89;3989;500;0;3998;500;0;9;500,0
NPPN;0;10;100000000;2e-12;100000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;100000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;200000;1;2382;180;1;2441;500;0;59;340,0
NPPN;0;10;100000000;2e-12;200000;2;2346;90;1;2375;500;0;29;295,0
NPPN;0;10;100000000;2e-12;200000;3;2341;500;0;2382;500;0;41;500,0
NPPN;0;10;100000000;2e-12;200000;5;2501;500;0;2489;500;0;-12;500,0
NPPN;0;10;100000000;2e-12;200000;8;2623;500;0;2680;500;0;57;500,0
NPPN;0;10;100000000;2e-12;200000;13;2786;500;0;2934;500;0;148;500,0
NPPN;0;10;100000000;2e-12;200000;21;3254;500;0;3365;500;0;111;500,0
NPPN;0;10;100000000;2e-12;200000;34;2343;500;0;2421;500;0;78;500,0
NPPN;0;10;100000000;2e-12;200000;55;3726;500;0;3702;500;0;-24;500,0
NPPN;0;10;100000000;2e-12;200000;89;4095;223;1;4012;500;0;-83;361,5
NPPN;0;10;100000000;2e-12;200000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;200000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;400000;1;2442;90;1;2509;500;0;67;295,0
NPPN;0;10;100000000;2e-12;400000;2;2278;270;1;2295;45;1;17;157,5
NPPN;0;10;100000000;2e-12;400000;3;2347;500;0;2376;500;0;29;500,0
NPPN;0;10;100000000;2e-12;400000;5;2498;500;0;2418;500;0;-80;500,0
NPPN;0;10;100000000;2e-12;400000;8;2568;500;0;2802;500;0;234;500,0
NPPN;0;10;100000000;2e-12;400000;13;3194;500;0;3029;500;0;-165;500,0
NPPN;0;10;100000000;2e-12;400000;21;3686;500;0;3686;500;0;0;500,0
NPPN;0;10;100000000;2e-12;400000;34;2354;500;0;2476;500;0;122;500,0
NPPN;0;10;100000000;2e-12;400000;55;3681;500;0;3628;500;0;-53;500,0
NPPN;0;10;100000000;2e-12;400000;89;4026;500;0;4024;500;0;-2;500,0
NPPN;0;10;100000000;2e-12;400000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;400000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;800000;1;2226;90;1;2271;500;0;45;295,0
NPPN;0;10;100000000;2e-12;800000;2;2566;500;0;2575;500;0;9;500,0
NPPN;0;10;100000000;2e-12;800000;3;2309;500;0;2319;500;0;10;500,0
NPPN;0;10;100000000;2e-12;800000;5;2505;500;0;2528;500;0;23;500,0
NPPN;0;10;100000000;2e-12;800000;8;2651;500;0;2706;500;0;55;500,0
NPPN;0;10;100000000;2e-12;800000;13;2891;500;0;3116;500;0;225;500,0
NPPN;0;10;100000000;2e-12;800000;21;3566;500;0;3563;500;0;-3;500,0
NPPN;0;10;100000000;2e-12;800000;34;2431;500;0;2514;500;0;83;500,0
NPPN;0;10;100000000;2e-12;800000;55;3567;500;0;3744;500;0;177;500,0
NPPN;0;10;100000000;2e-12;800000;89;4025;500;0;4050;500;0;25;500,0
NPPN;0;10;100000000;2e-12;800000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;800000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;1600000;1;2670;500;0;2732;500;0;62;500,0
NPPN;0;10;100000000;2e-12;1600000;2;2218;500;0;2675;500;0;457;500,0
NPPN;0;10;100000000;2e-12;1600000;3;3010;500;0;2704;500;0;-306;500,0
NPPN;0;10;100000000;2e-12;1600000;5;3464;500;0;3497;500;0;33;500,0
NPPN;0;10;100000000;2e-12;1600000;8;4095;45;1;4091;45;1;-4;45,0
NPPN;0;10;100000000;2e-12;1600000;13;3562;500;0;3561;500;0;-1;500,0
NPPN;0;10;100000000;2e-12;1600000;21;4087;500;0;4075;500;0;-12;500,0
NPPN;0;10;100000000;2e-12;1600000;34;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;1600000;55;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;1600000;89;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;1600000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;1600000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;1;2522;500;0;2496;500;0;-26;500,0
NPPN;0;10;100000000;2e-12;3200000;2;3014;500;0;2889;500;0;-125;500,0
NPPN;0;10;100000000;2e-12;3200000;3;2876;500;0;2991;500;0;115;500,0
NPPN;0;10;100000000;2e-12;3200000;5;3555;500;0;3948;500;0;393;500,0
NPPN;0;10;100000000;2e-12;3200000;8;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;13;3654;500;0;3716;500;0;62;500,0
NPPN;0;10;100000000;2e-12;3200000;21;4095;44;1;4095;45;1;0;44,5
NPPN;0;10;100000000;2e-12;3200000;34;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;55;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;89;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;3200000;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;6400000;1;1734;500;0;1897;500;0;163;500,0
NPPN;0;10;100000000;2e-12;6400000;2;2949;500;0;3031;500;0;82;500,0
NPPN;0;10;100000000;2e-12;6400000;3;3136;500;0;3205;500;0;69;500,0
NPPN;0;10;100000000;2e-12;6400000;5;3699;500;0;3421;500;0;-278;500,0
NPPN;0;10;100000000;2e-12;6400000;8;4095;44;1;4090;500;0;-5;272,0
NPPN;0;10;100000000;2e-12;6400000;13;3616;500;0;3611;500;0;-5;500,0
NPPN;0;10;100000000;2e-12;6400000;21;4095;44;1;4095;44;1;0;44,0
NPPN;0;10;100000000;2e-12;6400000;34;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;6400000;55;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;6400000;89;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;6400000;128;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;6400000;255;4095;45;1;4095;45;1;0;45,0
PNNP;0;10;100000000;2e-12;100;1;244;500;0;399;500;0;155;500,0
PNNP;0;10;100000000;2e-12;100;2;287;500;0;462;500;0;175;500,0
PNNP;0;10;100000000;2e-12;100;3;304;500;0;490;500;0;186;500,0
PNNP;0;10;100000000;2e-12;100;5;321;500;0;516;500;0;195;500,0
PNNP;0;10;100000000;2e-12;100;8;341;500;0;544;500;0;203;500,0
PNNP;0;10;100000000;2e-12;100;13;358;500;0;580;500;0;222;500,0
PNNP;0;10;100000000;2e-12;100;21;391;500;0;618;500;0;227;500,0
PNNP;0;10;100000000;2e-12;100;34;425;500;0;664;500;0;239;500,0
PNNP;0;10;100000000;2e-12;100;55;469;500;0;737;500;0;268;500,0
PNNP;0;10;100000000;2e-12;100;89;584;500;0;850;500;0;266;500,0
PNNP;0;10;100000000;2e-12;100;128;808;500;0;1073;500;0;265;500,0
PNNP;0;10;100000000;2e-12;100;255;1449;500;0;1693;500;0;244;500,0
PNNP;0;10;100000000;2e-12;200;1;356;500;0;701;500;0;345;500,0
PNNP;0;10;100000000;2e-12;200;2;511;500;0;761;500;0;250;500,0
PNNP;0;10;100000000;2e-12;200;3;559;500;0;851;500;0;292;500,0
PNNP;0;10;100000000;2e-12;200;5;590;500;0;911;500;0;321;500,0
PNNP;0;10;100000000;2e-12;200;8;627;500;0;968;500;0;341;500,0
PNNP;0;10;100000000;2e-12;200;13;653;500;0;1007;500;0;354;500,0
PNNP;0;10;100000000;2e-12;200;21;694;500;0;1061;500;0;367;500,0
